RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Benin,BEN,LDCs,12910515819.0,11,Hydro-energy,Mitigation,9,3.1786877,3.1786877
Benin,BEN,LDCs,12910515819.0,12,Energy-efficiency,Mitigation,3,0.1199307,0.1199307
Bhutan,BTN,LDCs,2264902343.0,0,Adaptation,Adaptation,25,1.5249873699999996,1.5249873699999996
Bhutan,BTN,LDCs,2264902343.0,1,Solar-energy,Mitigation,2,0.667254,0.667254
Bhutan,BTN,LDCs,2264902343.0,4,Biodiversity,Environment,8,0.3207315,0.0
Bhutan,BTN,LDCs,2264902343.0,6,Nature_conservation,Environment,1,0.00436411,0.0
Bhutan,BTN,LDCs,2264902343.0,7,Other-environment-projects,Environment,20,1.5732918699999996,0.0
Bhutan,BTN,LDCs,2264902343.0,8,Sustainable-land-use,Environment,21,1.4465704899999996,0.0
Bhutan,BTN,LDCs,2264902343.0,10,Renewables-multiple,Mitigation,8,0.09264476669999999,0.09264476669999999
Bhutan,BTN,LDCs,2264902343.0,11,Hydro-energy,Mitigation,13,1.822239,1.822239
Bhutan,BTN,LDCs,2264902343.0,12,Energy-efficiency,Mitigation,1,0.0144487,0.0144487
Bolivia,BOL,LMICs,37126587467.0,0,Adaptation,Adaptation,222,63.523684247399984,63.523684247399984
Bolivia,BOL,LMICs,37126587467.0,1,Solar-energy,Mitigation,35,41.765144596999995,41.765144596999995
Bolivia,BOL,LMICs,37126587467.0,2,Bioenergy,Mitigation,8,0.4023767499999999,0.4023767499999999
Bolivia,BOL,LMICs,37126587467.0,3,Other-mitigation-projects,Mitigation,7,1.51470388,1.51470388
Bolivia,BOL,LMICs,37126587467.0,4,Biodiversity,Environment,21,0.63203842,0.0
Bolivia,BOL,LMICs,37126587467.0,5,Geothermal-energy,Mitigation,9,2.730552,2.730552
Bolivia,BOL,LMICs,37126587467.0,6,Nature_conservation,Environment,31,1.0212994629999992,0.0
Bolivia,BOL,LMICs,37126587467.0,7,Other-environment-projects,Environment,142,24.727513839,0.0
Bolivia,BOL,LMICs,37126587467.0,8,Sustainable-land-use,Environment,361,64.16221518299999,0.0
Bolivia,BOL,LMICs,37126587467.0,10,Renewables-multiple,Mitigation,14,7.6040601699999995,7.6040601699999995
