RecipientName,country_type,country_code,gdp,Mitigation_funding,effective_funding,perc_Mitigation
Cameroon,LMICs,CMR,35207235376.0,52.811025269999995,141.2815124,0.37684496971745146
Central African Republic,LDCs,CAF,2006896079.0,0.25866730999999976,5.691576039999999,0.0018457788710876993
Chad,LDCs,TCD,10720536841.0,0.57655481,48.92528715058,0.004114136750878895
Chile,MADCTs,CHL,270396000000.0,192.51899587500003,199.06116198900003,1.373762671707899
China (People's Republic of),UMICs,CHN,12568600000000.0,137.767728238,786.86523297,0.9830726654228276
Colombia,UMICs,COL,309113000000.0,159.695623573,775.3950950200001,1.139544103181103
Comoros,Small Island Developing States,COM,1084112832.0,0.0234428,2.0377234799999995,0.0001672813813200236
Congo,LMICs,COG,9823410998.0,0.6660752699999997,8.04789353,0.004752930163150632
Cook Islands,UMICs,COK,355000000.0,0.10592639999999989,1.4902721,0.0007558616935800046
Costa Rica,UMICs,CRI,58548738110.0,118.93763311999999,213.25535458999997,0.8487062790813293
Cuba,Small Island Developing States,CUB,93844250000.0,16.46789663,44.19233376099999,0.11751038680113987
Côte d'Ivoire,LMICs,CIV,52376793651.0,72.93079277000002,113.24460042000003,0.5204141039180471
Democratic Republic of the Congo,LDCs,COD,41444547384.0,35.80596815999999,228.92719487999997,0.2555015532831224
Djibouti,LDCs,DJI,2823368140.0,5.0685468,6.09432431,0.03616775769059948
Dominica,Small Island Developing States,DMA,556745925.9,1.6980896799999998,5.301200249999999,0.012117101509874113
Dominican Republic,Small Island Developing States,DOM,80272839474.0,45.09533616,101.616973,0.32178793164364367
Ecuador,UMICs,ECU,103704000000.0,66.42363467169999,242.9964307327,0.47398081117351964
Egypt,LMICs,EGY,291013000000.0,699.98543462,805.229613174,4.99490378312875
El Salvador,LMICs,SLV,25149784000.0,42.9521914,72.332488511,0.3064950393346374
Equatorial Guinea,UMICs,GNQ,12186496882.0,0.00717564,0.20090244000000004,5.1203395970413696e-05
Eswatini,LMICs,SWZ,4295268357.0,0.0,5.6415063,0.0
Ethiopia,LDCs,ETH,80206751231.0,111.74935502999999,1020.1448510929999,0.7974127011722204
Fiji,Small Island Developing States,FJI,5207692828.0,2.66542144,24.97001105,0.01901971523381193
Gabon,UMICs,GAB,15371345949.0,0.7335708999999996,10.393570610000001,0.005234560438521543
Gambia,LDCs,GMB,1542251823.0,0.1923668,0.5104989999999999,0.001372676643750436
Georgia,LMICs,GEO,16336304380.0,152.51137065999998,194.99401215449998,1.088279247829394
Ghana,LMICs,GHA,59022565018.0,61.481511323999996,154.929447966,0.43871517651139763
