DonorName,climate_funding,climate finance (including nature),environment_funding,mitigation_funding,adaptation_funding,effective_funding
Denmark,18.207954330000003,18.207954330000003,0.0,18.207954330000003,0.0,18.207954330000003
Denmark,28.32100665,28.32100665,0.0,28.32100665,0.0,28.32100665
Denmark,65.03183899999999,65.03183899999999,0.0,65.03183899999999,0.0,65.03183899999999
Denmark,98.23989202000001,98.23989202000001,0.0,98.23989202000001,0.0,98.23989202000001
Denmark,142.1188793608,142.1188793608,0.0,0.0,142.1188793608,142.1188793608
Estonia,0.0,0.1070328899999999,0.1070328899999999,0.0,0.0,0.1070328899999999
Estonia,0.0,0.110961965,0.110961965,0.0,0.0,0.110961965
Estonia,0.0,0.27124046,0.27124046,0.0,0.0,0.27124046
Estonia,0.0,0.5852779999999997,0.5852779999999997,0.0,0.0,0.5852779999999997
Estonia,0.0430122599999999,0.0430122599999999,0.0,0.0430122599999999,0.0,0.0430122599999999
Estonia,0.2253065999999999,0.2253065999999999,0.0,0.2253065999999999,0.0,0.2253065999999999
Estonia,0.3185591699999999,0.3185591699999999,0.0,0.0,0.3185591699999999,0.3185591699999999
Estonia,1.272999,1.272999,0.0,1.272999,0.0,1.272999
Finland,0.0,3.031730861999999,3.031730861999999,0.0,0.0,3.031730861999999
Finland,0.0,7.0034526847,7.0034526847,0.0,0.0,7.0034526847
Finland,0.0,20.552518453099996,20.552518453099996,0.0,0.0,20.552518453099996
Finland,0.0,100.97115368899999,100.97115368899999,0.0,0.0,100.97115368899999
Finland,0.5533827999999998,0.5533827999999998,0.0,0.5533827999999998,0.0,0.5533827999999998
Finland,1.4799811959999998,1.4799811959999998,0.0,1.4799811959999998,0.0,1.4799811959999998
Finland,1.5461128809999996,1.5461128809999996,0.0,1.5461128809999996,0.0,1.5461128809999996
Finland,10.1089115,10.1089115,0.0,10.1089115,0.0,10.1089115
Finland,10.69218677,10.69218677,0.0,10.69218677,0.0,10.69218677
Finland,24.7087927,24.7087927,0.0,24.7087927,0.0,24.7087927
Finland,45.45331140899999,45.45331140899999,0.0,0.0,45.45331140899999,45.45331140899999
Finland,133.67879402,133.67879402,0.0,133.67879402,0.0,133.67879402
France,0.0,71.489488244,71.489488244,0.0,0.0,71.489488244
France,0.0,281.774471412,281.774471412,0.0,0.0,281.774471412
France,0.0,333.8090408819996,333.8090408819996,0.0,0.0,333.8090408819996
France,0.0,990.0734864103998,990.0734864103998,0.0,0.0,990.0734864103998
France,0.0123139,0.0123139,0.0,0.0123139,0.0,0.0123139
France,7.178282848,7.178282848,0.0,7.178282848,0.0,7.178282848
France,27.42907194,27.42907194,0.0,27.42907194,0.0,27.42907194
France,79.21589737000001,79.21589737000001,0.0,79.21589737000001,0.0,79.21589737000001
France,134.6252740071944,134.6252740071944,0.0,134.6252740071944,0.0,134.6252740071944
France,178.41752615000001,178.41752615000001,0.0,178.41752615000001,0.0,178.41752615000001
France,249.40089769099998,249.40089769099998,0.0,249.40089769099998,0.0,249.40089769099998
France,840.4751109169999,840.4751109169999,0.0,840.4751109169999,0.0,840.4751109169999
France,1065.4378633759998,1065.4378633759998,0.0,0.0,1065.4378633759998,1065.4378633759998
France,1140.90596686,1140.90596686,0.0,1140.90596686,0.0,1140.90596686
Germany,0.0,697.83732994,697.83732994,0.0,0.0,697.83732994
Germany,0.0,704.5021387700001,704.5021387700001,0.0,0.0,704.5021387700001
Germany,0.0,1735.1273728300005,1735.1273728300005,0.0,0.0,1735.1273728300005
