DonorName,country_code,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Finland,FIN,254965000000.0,12,Energy-efficiency,Mitigation,14,2.08715217,2.08715217
Finland,FIN,254965000000.0,13,Wind-energy,Mitigation,8,0.1990053199999999,0.1990053199999999
France,FRA,2601610000000.0,0,Adaptation,Adaptation,638,1150.7682840720001,1150.7682840720001
France,FRA,2601610000000.0,1,Solar-energy,Mitigation,270,331.92490987199994,331.92490987199994
France,FRA,2601610000000.0,2,Bioenergy,Mitigation,53,33.611204193,33.611204193
France,FRA,2601610000000.0,3,Other-mitigation-projects,Mitigation,338,610.8972032675345,610.8972032675345
France,FRA,2601610000000.0,4,Biodiversity,Environment,2633,789.8191657981,0.0
France,FRA,2601610000000.0,5,Geothermal-energy,Mitigation,57,124.58631044,124.58631044
France,FRA,2601610000000.0,6,Nature_conservation,Environment,455,324.693706923,0.0
France,FRA,2601610000000.0,7,Other-environment-projects,Environment,808,437.93645846300006,0.0
France,FRA,2601610000000.0,8,Sustainable-land-use,Environment,1016,888.8617468398002,0.0
France,FRA,2601610000000.0,9,Marine-energy,Mitigation,3,0.4314859999999999,0.4314859999999999
France,FRA,2601610000000.0,10,Renewables-multiple,Mitigation,307,1452.2150946600002,1452.2150946600002
France,FRA,2601610000000.0,11,Hydro-energy,Mitigation,176,431.68909207,431.68909207
France,FRA,2601610000000.0,12,Energy-efficiency,Mitigation,244,1046.71004142,1046.71004142
France,FRA,2601610000000.0,13,Wind-energy,Mitigation,34,154.60988327,154.60988327
Germany,DEU,3657660000000.0,0,Adaptation,Adaptation,3955,2582.966093169998,2582.966093169998
Germany,DEU,3657660000000.0,1,Solar-energy,Mitigation,612,1442.17665898,1442.17665898
Germany,DEU,3657660000000.0,2,Bioenergy,Mitigation,557,102.56008283,102.56008283
Germany,DEU,3657660000000.0,3,Other-mitigation-projects,Mitigation,1770,3168.25906523,3168.25906523
Germany,DEU,3657660000000.0,4,Biodiversity,Environment,1213,1052.8674939300001,0.0
Germany,DEU,3657660000000.0,5,Geothermal-energy,Mitigation,118,138.66105659000002,138.66105659000002
Germany,DEU,3657660000000.0,6,Nature_conservation,Environment,1112,996.4767570500003,0.0
Germany,DEU,3657660000000.0,7,Other-environment-projects,Environment,2563,2062.1435739900003,0.0
Germany,DEU,3657660000000.0,8,Sustainable-land-use,Environment,4443,2063.52894887,0.0
Germany,DEU,3657660000000.0,9,Marine-energy,Mitigation,8,0.2130256099999997,0.2130256099999997
Germany,DEU,3657660000000.0,10,Renewables-multiple,Mitigation,1654,5000.054230370001,5000.054230370001
Germany,DEU,3657660000000.0,11,Hydro-energy,Mitigation,373,724.1382496800001,724.1382496800001
Germany,DEU,3657660000000.0,12,Energy-efficiency,Mitigation,1015,2272.6056577599998,2272.6056577599998
Germany,DEU,3657660000000.0,13,Wind-energy,Mitigation,185,913.9977667200001,913.9977667200001
Greece,GRC,204678000000.0,3,Other-mitigation-projects,Mitigation,1,0.05901,0.05901
Greece,GRC,204678000000.0,4,Biodiversity,Environment,2,0.00420326,0.0
Greece,GRC,204678000000.0,6,Nature_conservation,Environment,8,0.77293046,0.0
Greece,GRC,204678000000.0,7,Other-environment-projects,Environment,9,0.158202506,0.0
Hungary,HUN,142480000000.0,0,Adaptation,Adaptation,8,0.2224500969999999,0.2224500969999999
Hungary,HUN,142480000000.0,1,Solar-energy,Mitigation,2,0.0014711019999999,0.0014711019999999
Hungary,HUN,142480000000.0,2,Bioenergy,Mitigation,1,0.0507563,0.0507563
Hungary,HUN,142480000000.0,3,Other-mitigation-projects,Mitigation,7,1.1221067279999997,1.1221067279999997
Hungary,HUN,142480000000.0,6,Nature_conservation,Environment,8,0.15212496,0.0
Hungary,HUN,142480000000.0,7,Other-environment-projects,Environment,9,0.3738086199999998,0.0
Hungary,HUN,142480000000.0,8,Sustainable-land-use,Environment,16,0.8803811339999997,0.0
Hungary,HUN,142480000000.0,10,Renewables-multiple,Mitigation,2,0.0036575690000000003,0.0036575690000000003
Hungary,HUN,142480000000.0,11,Hydro-energy,Mitigation,2,0.0990017,0.0990017
Hungary,HUN,142480000000.0,12,Energy-efficiency,Mitigation,4,0.16524896,0.16524896
Iceland,ISL,22484254300.0,0,Adaptation,Adaptation,18,1.6527448699999996,1.6527448699999996
Iceland,ISL,22484254300.0,3,Other-mitigation-projects,Mitigation,1,0.00409319,0.00409319
Iceland,ISL,22484254300.0,5,Geothermal-energy,Mitigation,49,27.522764159999998,27.522764159999998
Iceland,ISL,22484254300.0,6,Nature_conservation,Environment,1,1.15369,0.0
Iceland,ISL,22484254300.0,7,Other-environment-projects,Environment,8,5.2758052,0.0
Iceland,ISL,22484254300.0,8,Sustainable-land-use,Environment,13,2.1068453,0.0
Iceland,ISL,22484254300.0,10,Renewables-multiple,Mitigation,10,1.1678852499999999,1.1678852499999999
Iceland,ISL,22484254300.0,12,Energy-efficiency,Mitigation,6,2.885818,2.885818
Ireland,IRL,339812000000.0,0,Adaptation,Adaptation,167,55.2563568819,55.2563568819
Ireland,IRL,339812000000.0,1,Solar-energy,Mitigation,22,6.232100675,6.232100675
Ireland,IRL,339812000000.0,3,Other-mitigation-projects,Mitigation,11,2.84442972,2.84442972
Ireland,IRL,339812000000.0,4,Biodiversity,Environment,3,0.3770204999999999,0.0
Ireland,IRL,339812000000.0,6,Nature_conservation,Environment,7,0.5364921269999997,0.0
Ireland,IRL,339812000000.0,7,Other-environment-projects,Environment,51,10.33271962,0.0
Ireland,IRL,339812000000.0,8,Sustainable-land-use,Environment,37,6.56664357,0.0
Ireland,IRL,339812000000.0,10,Renewables-multiple,Mitigation,2,0.0447049999999999,0.0447049999999999
Ireland,IRL,339812000000.0,11,Hydro-energy,Mitigation,3,0.1957853,0.1957853
Ireland,IRL,339812000000.0,12,Energy-efficiency,Mitigation,1,0.0127313999999999,0.0127313999999999
Italy,ITA,1952100000000.0,0,Adaptation,Adaptation,382,109.80342799509998,109.80342799509998
Italy,ITA,1952100000000.0,1,Solar-energy,Mitigation,396,22.300185231999993,22.300185231999993
Italy,ITA,1952100000000.0,2,Bioenergy,Mitigation,39,2.23342575,2.23342575
Italy,ITA,1952100000000.0,3,Other-mitigation-projects,Mitigation,111,43.136040928999996,43.136040928999996
Italy,ITA,1952100000000.0,4,Biodiversity,Environment,123,14.869976692,0.0
Italy,ITA,1952100000000.0,5,Geothermal-energy,Mitigation,12,6.066684282400002,6.066684282400002
Italy,ITA,1952100000000.0,6,Nature_conservation,Environment,215,33.9361279166,0.0
Italy,ITA,1952100000000.0,7,Other-environment-projects,Environment,569,53.842112526099996,0.0
Italy,ITA,1952100000000.0,8,Sustainable-land-use,Environment,569,59.74792647299999,0.0
Italy,ITA,1952100000000.0,9,Marine-energy,Mitigation,3,0.21674638,0.21674638
Italy,ITA,1952100000000.0,10,Renewables-multiple,Mitigation,238,78.889033589,78.889033589
Italy,ITA,1952100000000.0,11,Hydro-energy,Mitigation,65,4.71850835,4.71850835
Italy,ITA,1952100000000.0,12,Energy-efficiency,Mitigation,35,3.6434597199999996,3.6434597199999996
Italy,ITA,1952100000000.0,13,Wind-energy,Mitigation,7,0.1342863,0.1342863
Japan,JPN,4843090000000.0,0,Adaptation,Adaptation,121,690.0662063,690.0662063
Japan,JPN,4843090000000.0,1,Solar-energy,Mitigation,118,78.29891613699999,78.29891613699999
Japan,JPN,4843090000000.0,2,Bioenergy,Mitigation,14,10.189550599999999,10.189550599999999
Japan,JPN,4843090000000.0,3,Other-mitigation-projects,Mitigation,38,23.923310599999997,23.923310599999997
Japan,JPN,4843090000000.0,4,Biodiversity,Environment,63,254.1356659,0.0
Japan,JPN,4843090000000.0,5,Geothermal-energy,Mitigation,126,681.6996028,681.6996028
Japan,JPN,4843090000000.0,6,Nature_conservation,Environment,256,136.2301678,0.0
Japan,JPN,4843090000000.0,7,Other-environment-projects,Environment,722,1369.197672428,0.0
Japan,JPN,4843090000000.0,8,Sustainable-land-use,Environment,118,187.2349001,0.0
Japan,JPN,4843090000000.0,10,Renewables-multiple,Mitigation,73,461.28741153,461.28741153
Japan,JPN,4843090000000.0,11,Hydro-energy,Mitigation,661,684.2224192,684.2224192
Japan,JPN,4843090000000.0,12,Energy-efficiency,Mitigation,55,402.758326,402.758326
Japan,JPN,4843090000000.0,13,Wind-energy,Mitigation,35,304.2314036,304.2314036
Kazakhstan,KAZ,169595000000.0,6,Nature_conservation,Environment,15,2.17576015,0.0
Korea,KOR,1590550000000.0,0,Adaptation,Adaptation,528,147.015058,147.015058
Korea,KOR,1590550000000.0,1,Solar-energy,Mitigation,167,106.791489,106.791489
Korea,KOR,1590550000000.0,2,Bioenergy,Mitigation,36,2.3229909999999996,2.3229909999999996
Korea,KOR,1590550000000.0,3,Other-mitigation-projects,Mitigation,93,33.954112,33.954112
Korea,KOR,1590550000000.0,4,Biodiversity,Environment,47,3.5717579999999995,0.0
Korea,KOR,1590550000000.0,5,Geothermal-energy,Mitigation,5,6.4989799999999995,6.4989799999999995
Korea,KOR,1590550000000.0,6,Nature_conservation,Environment,120,96.008758,0.0
Korea,KOR,1590550000000.0,7,Other-environment-projects,Environment,527,177.67851999999993,0.0
Korea,KOR,1590550000000.0,8,Sustainable-land-use,Environment,292,97.04944499999999,0.0
Korea,KOR,1590550000000.0,9,Marine-energy,Mitigation,2,0.4323369999999999,0.4323369999999999
Korea,KOR,1590550000000.0,10,Renewables-multiple,Mitigation,182,74.791057,74.791057
Korea,KOR,1590550000000.0,11,Hydro-energy,Mitigation,45,96.7419394,96.7419394
Korea,KOR,1590550000000.0,12,Energy-efficiency,Mitigation,42,13.224653,13.224653
Kuwait,KWT,124020000000.0,0,Adaptation,Adaptation,7,0.0,0.0
Kuwait,KWT,124020000000.0,1,Solar-energy,Mitigation,2,0.0815634,0.0815634
Kuwait,KWT,124020000000.0,2,Bioenergy,Mitigation,2,0.16825459999999998,0.16825459999999998
Kuwait,KWT,124020000000.0,6,Nature_conservation,Environment,11,23.322748,0.0
Kuwait,KWT,124020000000.0,7,Other-environment-projects,Environment,3,51.0,0.0
Kuwait,KWT,124020000000.0,8,Sustainable-land-use,Environment,3,0.0,0.0
Kuwait,KWT,124020000000.0,10,Renewables-multiple,Mitigation,1,0.0,0.0
Kuwait,KWT,124020000000.0,11,Hydro-energy,Mitigation,82,91.4547364,91.4547364
Kuwait,KWT,124020000000.0,12,Energy-efficiency,Mitigation,1,53.506,53.506
